days,dt,cur_time_in_gmt,cpu_utilization_pctg,hour
3/9/2017 7:00,3/9/2017,3/9/2017 7:00,35.556,7
3/9/2017 8:00,3/9/2017,3/9/2017 8:00,28.611,8
3/9/2017 9:00,3/9/2017,3/9/2017 9:00,35.556,9
3/9/2017 10:00,3/9/2017,3/9/2017 10:00,42.778,10
3/9/2017 11:00,3/9/2017,3/9/2017 11:00,52.632,11
3/9/2017 12:00,3/9/2017,3/9/2017 12:00,58.611,12
3/9/2017 13:00,3/9/2017,3/9/2017 13:00,73.333,13
3/9/2017 14:00,3/9/2017,3/9/2017 14:00,82.5,14
3/9/2017 15:00,3/9/2017,3/9/2017 15:00,65,15
3/9/2017 16:00,3/9/2017,3/9/2017 16:00,65.833,16
3/9/2017 17:00,3/9/2017,3/9/2017 17:00,66.759,17
3/9/2017 18:00,3/9/2017,3/9/2017 18:00,61.111,18
3/9/2017 19:00,3/9/2017,3/9/2017 19:00,54.167,19
3/9/2017 20:00,3/9/2017,3/9/2017 20:00,45.833,20
3/9/2017 21:00,3/9/2017,3/9/2017 21:00,40.833,21
3/9/2017 22:00,3/9/2017,3/9/2017 22:00,55,22
3/9/2017 23:00,3/9/2017,3/9/2017 23:00,40.72,23
3/10/2017 0:00,3/9/2017,3/10/2017 0:00,45.556,0
3/10/2017 1:00,3/9/2017,3/10/2017 1:00,63.056,1
3/10/2017 2:00,3/9/2017,3/10/2017 2:00,56.667,2
3/10/2017 3:00,3/9/2017,3/10/2017 3:00,57.778,3
3/10/2017 4:00,3/9/2017,3/10/2017 4:00,53.056,4
3/10/2017 5:00,3/9/2017,3/10/2017 5:00,33.611,5
3/10/2017 6:00,3/10/2017,3/10/2017 6:00,33.611,6
3/10/2017 7:00,3/10/2017,3/10/2017 7:00,31.667,7
3/10/2017 8:00,3/10/2017,3/10/2017 8:00,28.611,8
3/10/2017 9:00,3/10/2017,3/10/2017 9:00,35.833,9
3/10/2017 10:00,3/10/2017,3/10/2017 10:00,57.778,10
3/10/2017 11:00,3/10/2017,3/10/2017 11:00,49.722,11
3/10/2017 12:00,3/10/2017,3/10/2017 12:00,62.05,12
3/10/2017 13:00,3/10/2017,3/10/2017 13:00,73.889,13
3/10/2017 14:00,3/10/2017,3/10/2017 14:00,82.222,14
3/10/2017 15:00,3/10/2017,3/10/2017 15:00,60.278,15
3/10/2017 16:00,3/10/2017,3/10/2017 16:00,67.222,16
3/10/2017 17:00,3/10/2017,3/10/2017 17:00,63.889,17
3/10/2017 18:00,3/10/2017,3/10/2017 18:00,56.667,18
3/10/2017 19:00,3/10/2017,3/10/2017 19:00,47.645,19
3/10/2017 20:00,3/10/2017,3/10/2017 20:00,46.111,20
3/10/2017 21:00,3/10/2017,3/10/2017 21:00,48.611,21
3/10/2017 22:00,3/10/2017,3/10/2017 22:00,75.833,22
3/10/2017 23:00,3/10/2017,3/10/2017 23:00,73.056,23
3/11/2017 0:00,3/10/2017,3/11/2017 0:00,73.333,0
3/11/2017 1:00,3/10/2017,3/11/2017 1:00,83.657,1
3/11/2017 2:00,3/10/2017,3/11/2017 2:00,79.444,2
3/11/2017 3:00,3/10/2017,3/11/2017 3:00,78.889,3
3/11/2017 4:00,3/10/2017,3/11/2017 4:00,68.889,4
3/11/2017 5:00,3/10/2017,3/11/2017 5:00,56.111,5
3/11/2017 6:00,3/11/2017,3/11/2017 6:00,56.111,6
3/11/2017 7:00,3/11/2017,3/11/2017 7:00,47.5,7
3/11/2017 8:00,3/11/2017,3/11/2017 8:00,47.368,8
3/11/2017 9:00,3/11/2017,3/11/2017 9:00,34.722,9
3/11/2017 10:00,3/11/2017,3/11/2017 10:00,34.722,10
3/11/2017 11:00,3/11/2017,3/11/2017 11:00,30.833,11
3/11/2017 12:00,3/11/2017,3/11/2017 12:00,28.333,12
3/11/2017 13:00,3/11/2017,3/11/2017 13:00,15.833,13
3/11/2017 14:00,3/11/2017,3/11/2017 14:00,15.512,14
3/11/2017 15:00,3/11/2017,3/11/2017 15:00,15.556,15
3/11/2017 16:00,3/11/2017,3/11/2017 16:00,16.111,16
3/11/2017 17:00,3/11/2017,3/11/2017 17:00,15.556,17
3/11/2017 18:00,3/11/2017,3/11/2017 18:00,17.222,18
3/11/2017 19:00,3/11/2017,3/11/2017 19:00,17.778,19
3/11/2017 20:00,3/11/2017,3/11/2017 20:00,17.5,20
3/11/2017 21:00,3/11/2017,3/11/2017 21:00,19.668,21
3/11/2017 22:00,3/11/2017,3/11/2017 22:00,20.833,22
3/11/2017 23:00,3/11/2017,3/11/2017 23:00,18.056,23
3/12/2017 0:00,3/11/2017,3/12/2017 0:00,27.222,0
3/12/2017 1:00,3/11/2017,3/12/2017 1:00,48.333,1
3/12/2017 2:00,3/11/2017,3/12/2017 2:00,19.722,2
3/12/2017 3:00,3/11/2017,3/12/2017 3:00,17.729,3
3/12/2017 4:00,3/11/2017,3/12/2017 4:00,18.056,4
3/12/2017 5:00,3/11/2017,3/12/2017 5:00,17.222,5
3/12/2017 6:00,3/12/2017,3/12/2017 6:00,29.444,6
3/12/2017 7:00,3/12/2017,3/12/2017 7:00,27.222,7
3/12/2017 8:00,3/12/2017,3/12/2017 8:00,21.667,8
3/12/2017 9:00,3/12/2017,3/12/2017 9:00,21.884,9
3/12/2017 10:00,3/12/2017,3/12/2017 10:00,22.222,10
3/12/2017 11:00,3/12/2017,3/12/2017 11:00,23.056,11
3/12/2017 12:00,3/12/2017,3/12/2017 12:00,24.167,12
3/12/2017 13:00,3/12/2017,3/12/2017 13:00,28.056,13
3/12/2017 14:00,3/12/2017,3/12/2017 14:00,25,14
3/12/2017 15:00,3/12/2017,3/12/2017 15:00,27.778,15
3/12/2017 16:00,3/12/2017,3/12/2017 16:00,28.809,16
3/12/2017 17:00,3/12/2017,3/12/2017 17:00,27.778,17
3/12/2017 18:00,3/12/2017,3/12/2017 18:00,24.167,18
3/12/2017 19:00,3/12/2017,3/12/2017 19:00,21.111,19
3/12/2017 20:00,3/12/2017,3/12/2017 20:00,21.111,20
3/12/2017 21:00,3/12/2017,3/12/2017 21:00,21.389,21
3/12/2017 22:00,3/12/2017,3/12/2017 22:00,20.499,22
3/12/2017 23:00,3/12/2017,3/12/2017 23:00,28.056,23
3/13/2017 0:00,3/12/2017,3/13/2017 0:00,53.056,0
3/13/2017 1:00,3/12/2017,3/13/2017 1:00,22.778,1
3/13/2017 2:00,3/12/2017,3/13/2017 2:00,20.278,2
3/13/2017 3:00,3/12/2017,3/13/2017 3:00,21.389,3
3/13/2017 4:00,3/12/2017,3/13/2017 4:00,21.111,4
3/13/2017 5:00,3/13/2017,3/13/2017 5:00,21.111,5
3/13/2017 6:00,3/13/2017,3/13/2017 6:00,23.889,6
3/13/2017 7:00,3/13/2017,3/13/2017 7:00,31.111,7
3/13/2017 8:00,3/13/2017,3/13/2017 8:00,30.833,8
3/13/2017 9:00,3/13/2017,3/13/2017 9:00,45,9
3/13/2017 10:00,3/13/2017,3/13/2017 10:00,55.556,10
3/13/2017 11:00,3/13/2017,3/13/2017 11:00,60.942,11
3/13/2017 12:00,3/13/2017,3/13/2017 12:00,75.833,12
3/13/2017 13:00,3/13/2017,3/13/2017 13:00,83.056,13
3/13/2017 14:00,3/13/2017,3/13/2017 14:00,63.889,14
3/13/2017 15:00,3/13/2017,3/13/2017 15:00,67.778,15
3/13/2017 16:00,3/13/2017,3/13/2017 16:00,65,16
3/13/2017 17:00,3/13/2017,3/13/2017 17:00,57.064,17
3/13/2017 18:00,3/13/2017,3/13/2017 18:00,52.778,18
3/13/2017 19:00,3/13/2017,3/13/2017 19:00,50,19
3/13/2017 20:00,3/13/2017,3/13/2017 20:00,48.333,20
3/13/2017 21:00,3/13/2017,3/13/2017 21:00,48.056,21
3/13/2017 22:00,3/13/2017,3/13/2017 22:00,34.444,22
3/13/2017 23:00,3/13/2017,3/13/2017 23:00,43.333,23
3/14/2017 0:00,3/13/2017,3/14/2017 0:00,65.374,0
3/14/2017 1:00,3/13/2017,3/14/2017 1:00,55.556,1
3/14/2017 2:00,3/13/2017,3/14/2017 2:00,55.833,2
3/14/2017 3:00,3/13/2017,3/14/2017 3:00,47.222,3
3/14/2017 4:00,3/13/2017,3/14/2017 4:00,35.556,4
3/14/2017 5:00,3/14/2017,3/14/2017 5:00,35.556,5
3/14/2017 6:00,3/14/2017,3/14/2017 6:00,29.086,6
3/14/2017 7:00,3/14/2017,3/14/2017 7:00,27.5,7
3/14/2017 8:00,3/14/2017,3/14/2017 8:00,27.5,8
3/14/2017 9:00,3/14/2017,3/14/2017 9:00,44.444,9
3/14/2017 10:00,3/14/2017,3/14/2017 10:00,53.611,10
3/14/2017 11:00,3/14/2017,3/14/2017 11:00,60.278,11
3/14/2017 12:00,3/14/2017,3/14/2017 12:00,74.238,12
3/14/2017 13:00,3/14/2017,3/14/2017 13:00,80.278,13
3/14/2017 14:00,3/14/2017,3/14/2017 14:00,58.333,14
3/14/2017 15:00,3/14/2017,3/14/2017 15:00,66.389,15
3/14/2017 16:00,3/14/2017,3/14/2017 16:00,63.611,16
3/14/2017 17:00,3/14/2017,3/14/2017 17:00,56.389,17
3/14/2017 18:00,3/14/2017,3/14/2017 18:00,65,18
3/14/2017 19:00,3/14/2017,3/14/2017 19:00,55.402,19
3/14/2017 20:00,3/14/2017,3/14/2017 20:00,55.833,20
3/14/2017 21:00,3/14/2017,3/14/2017 21:00,56.389,21
3/14/2017 22:00,3/14/2017,3/14/2017 22:00,41.111,22
3/14/2017 23:00,3/14/2017,3/14/2017 23:00,42.5,23
3/15/2017 0:00,3/14/2017,3/15/2017 0:00,66.389,0
3/15/2017 1:00,3/14/2017,3/15/2017 1:00,58.172,1
3/15/2017 2:00,3/14/2017,3/15/2017 2:00,60.556,2
3/15/2017 3:00,3/14/2017,3/15/2017 3:00,53.333,3
3/15/2017 4:00,3/14/2017,3/15/2017 4:00,35.833,4
3/15/2017 5:00,3/15/2017,3/15/2017 5:00,35.833,5
3/15/2017 6:00,3/15/2017,3/15/2017 6:00,30,6
3/15/2017 7:00,3/15/2017,3/15/2017 7:00,28.056,7
3/15/2017 8:00,3/15/2017,3/15/2017 8:00,27.424,8
3/15/2017 9:00,3/15/2017,3/15/2017 9:00,45,9
3/15/2017 10:00,3/15/2017,3/15/2017 10:00,59.444,10
3/15/2017 11:00,3/15/2017,3/15/2017 11:00,61.389,11
3/15/2017 12:00,3/15/2017,3/15/2017 12:00,76.389,12
3/15/2017 13:00,3/15/2017,3/15/2017 13:00,83.056,13
3/15/2017 14:00,3/15/2017,3/15/2017 14:00,61.219,14
3/15/2017 15:00,3/15/2017,3/15/2017 15:00,69.167,15
3/15/2017 16:00,3/15/2017,3/15/2017 16:00,66.111,16
3/15/2017 17:00,3/15/2017,3/15/2017 17:00,60.278,17
3/15/2017 18:00,3/15/2017,3/15/2017 18:00,51.944,18
